Generated_Sentence_From_symptoms,Disease_Name,Source_URL
"I've been experiencing a multitude of severe symptoms, including decreased urine output and an irregular heartbeat, which have led me to suspect that I may have suffered burns to my esophagus, potentially causing kidney failure. I've noticed holes in my skin and underlying tissues, accompanied by severe irritation. The pain in my throat is excruciating, making it difficult to breathe, and I've also experienced throat swelling, which has further compromised my breathing. Additionally, I've lost vision, and I've been dealing with nausea and vomiting, including vomiting blood, which is alarming. The pain or burning sensations in my nose, eyes, ears, lips, or tongue are unbearable, and I've also had blood in my stool. To make matters worse, I've been experiencing severe abdominal pain, which has led to rapidly developing low blood pressure, leaving me feeling like I'm going into shock and even causing me to collapse.",Acid soldering flux poisoning,https://medlineplus.gov/ency/article/002830.htm
"I've been experiencing some concerning symptoms lately, including overwhelming sleepiness, lethargy, and fatigue, which have left me feeling drained and exhausted. Along with this, I've noticed shortness of breath, which is quite alarming. To make matters worse, I've been feeling confused, which is affecting my daily activities and overall well-being.",Acidosis,https://medlineplus.gov/ency/article/001181.htm
"I've been struggling with a persistent skin issue, characterized by crusting of skin bumps, blackheads, and whiteheads, which often lead to redness around the eruptions, scarring of the skin, and painful pustules filled with pus. Additionally, I've noticed the formation of papules, which are small red bumps, and in some cases, larger and more severe cysts have developed, causing me a lot of discomfort and concern.",Acne,https://medlineplus.gov/ency/article/000873.htm
"I've been experiencing some disturbing symptoms in my ear and face, including hearing loss that makes it hard to follow conversations, numbness in my face or one ear, and weakness or asymmetry in my facial muscles. I've also been bothered by ringing in the affected ear, known as tinnitus, and have difficulty understanding speech. Additionally, I've been feeling dizzy, having headaches, and experiencing pain in my face or one ear. To make matters worse, I've been having an abnormal feeling of movement, known as vertigo, and have been struggling with loss of balance.",Acoustic neuroma,https://medlineplus.gov/ency/article/000778.htm
"I've been experiencing some disturbing symptoms in my ears, including constant noises and ringing in my ear, which I've come to realize is tinnitus. Along with this, I've noticed a partial hearing loss, which I think might be due to repeated exposure to loud or high-pitched sounds over a long period, and it seems to be slowly getting worse.",Acoustic trauma,https://medlineplus.gov/ency/article/001061.htm
"I've been experiencing some concerning symptoms lately, including frequent nosebleeds and gastrointestinal bleeding that's causing bloody, dark black, or tarry bowel movements, as well as vomiting blood or material that resembles coffee grounds. Additionally, I've been having heavy menstrual periods that last more than 5 days each cycle, and I've noticed abnormal vaginal bleeding. I've also been bruising easily and getting pinpoint red spots on my skin. Furthermore, I've seen blood in my urine and noticed bleeding under my skin.",Acquired platelet function defect,https://medlineplus.gov/ency/article/000546.htm
"I've been noticing some distinctive facial features that are quite prominent, and I've also realized that my body doesn't respond to certain hormones, even though my hormone levels are normal. Additionally, I've been struggling with intellectual disability, and I've been experiencing frequent middle ear infections, which have led to hearing problems. Furthermore, I've been dealing with growth problems, which have resulted in short arms and legs.",Acrodysostosis,https://medlineplus.gov/ency/article/001248.htm
"I've been experiencing a multitude of symptoms lately, including excessive height, which I've had since childhood, along with jaw pain and large feet and hands, which have resulted in changes to my shoe and ring or glove sizes. I've also been having frequent headaches, and I've noticed blood in my stool, which is concerning. Additionally, I've been experiencing body odor, and I've been diagnosed with colon polyps. Furthermore, I've noticed excess hair growth, which is unusual for me, and I've been dealing with high blood pressure and weight gain. My voice has also been hoarse, and I've been experiencing joint pain, limited joint movement, and swelling in the bony areas around my joints. I've also been struggling with sleep apnea, and I've noticed that my thyroid has become enlarged. My fingers and toes have become widened, swollen, and painful, and I've had dental problems, including gaps between my teeth. I've been feeling extremely fatigued, sweating excessively, and I've noticed that my face, jaw, and tongue have become larger, with widely spaced teeth. My muscle strength has decreased, and my tongue has become enlarged. I've also developed large glands in my skin, causing oily skin, thickening of the skin, and skin tags. Moreover, I've been diagnosed with type 2 diabetes, and I've experienced heart enlargement, which has led to fainting and shortness of breath. I've also noticed a decrease in my peripheral vision, and I've developed carpal tunnel syndrome.",Acromegaly,https://medlineplus.gov/ency/article/000321.htm
"I've noticed that my skin has been undergoing some unusual changes, starting with flat and scaly areas that often have a white or yellow crusty scale on top. The growths themselves can be gray, pink, red, or even the same color as my skin, and over time, they may become hard and wart-like or gritty and rough to the touch. What's interesting is that the affected areas are often easier to feel than see.",Actinic keratosis,https://medlineplus.gov/ency/article/000827.htm
"I've been experiencing some concerning symptoms lately, including draining sores on my skin, especially on my chest wall, which I suspect may be related to a lung infection with Actinomyces. Additionally, I've noticed a significant weight loss, despite not making any changes to my diet or exercise routine. What's unusual is that I'm not experiencing much pain, which is surprising given the severity of my symptoms. However, I do have a fever, and I've developed a swelling or a hard, red to reddish-purple lump on my face and upper neck, which is quite alarming.",Actinomycosis,https://medlineplus.gov/ency/article/000599.htm
"I've been experiencing a multitude of concerning symptoms lately, including severe abdominal pain or flank pain, which has left me feeling confused and disoriented, even to the point of loss of consciousness or coma. I've also noticed a significant slowdown in my movements, accompanied by a high fever and rapid breathing. Additionally, I've been dealing with nausea and vomiting, which has led to dehydration and a loss of appetite. To make matters worse, I've had low blood pressure, headaches, and unusual and excessive sweating on my face and palms. I've been feeling extremely fatigued and weak, which I suspect may be related to low blood sugar levels. My heart has been racing, and I've been experiencing dizziness or lightheadedness, making it difficult for me to carry out daily tasks.",Acute adrenal crisis,https://medlineplus.gov/ency/article/000357.htm
"I've been experiencing some concerning symptoms lately, including severe back pain and flank pain or pain in my side, which is often accompanied by abdominal pain. I've also noticed an abrupt decrease in my urine output, and I've been seeing blood in my urine, which is really worrying me. Additionally, I've been experiencing symptoms of high blood pressure, such as headaches, changes in my vision, and swelling, which is making me feel quite unwell.",Acute arterial occlusion - kidney,https://medlineplus.gov/ency/article/001272.htm
"I've been experiencing some concerning respiratory symptoms lately, including wheezing, which is especially worrying since I have asthma. I've noticed that I get shortness of breath that worsens with physical activity, and I've also been having chest discomfort. Additionally, I've had a persistent cough that produces mucus, which is often clear or yellow-green in color. On top of this, I've been feeling extremely fatigued, and I've been running a low-grade fever.",Acute bronchitis,https://medlineplus.gov/ency/article/001087.htm
"I've been struggling with some unsettling physical symptoms lately, including difficulty controlling my arm movements, which makes everyday tasks a challenge. Additionally, I've noticed repetitive eye movements, known as nystagmus, which can be quite disconcerting. Furthermore, I've been experiencing walking problems, which have led to unsteady gait and even falls, making me feel unbalanced and unstable. To make matters worse, my eye movements have become uncoordinated, and my speech has become clumsy and difficult to articulate, which is affecting my ability to communicate effectively.",Acute cerebellar ataxia,https://medlineplus.gov/ency/article/001397.htm
"I've been experiencing some concerning symptoms lately, including sharp, cramping, or dull pain in my abdomen, which often radiates to my back or below my right shoulder blade, and is sometimes accompanied by a steady pain. I've also been dealing with nausea and vomiting, and I've noticed that my stools are clay-colored. Additionally, I've had a fever and have developed jaundice, which is causing my skin and the whites of my eyes to turn yellow.",Acute cholecystitis,https://medlineplus.gov/ency/article/000264.htm
"I've been experiencing pain in my shoulder, arm, neck, jaw, back, and even my belly area, which is accompanied by a discomfort that feels like a tightness, squeezing, crushing, burning, choking, or aching sensation. Along with this, I've noticed shortness of breath and a fast or irregular heartbeat. I also feel anxious, and the discomfort often occurs at rest and doesn’t easily go away even when I take medicine. Additionally, I've been feeling dizzy or lightheaded, sweating excessively, and occasionally feeling nauseous.",Acute coronary syndrome,https://medlineplus.gov/ency/article/007639.htm
"I've been experiencing some alarming symptoms lately, including stiffness in my neck, pain in my arms and legs, and facial droop or weakness, which has made everyday activities very challenging. I've also been having trouble passing urine, and my eyelids have been drooping. I'm worried because I've been reading about serious nervous system problems that can be life-threatening. On top of this, I've been struggling with slurred speech and difficulty swallowing, and I'm anxious about the possibility of respiratory failure, which could be caused by weak muscles involved in breathing. Additionally, I've noticed difficulty moving my eyes, which is adding to my overall sense of unease.",Acute flaccid myelitis,https://medlineplus.gov/ency/article/007743.htm
"I've been experiencing a multitude of concerning symptoms lately, including prolonged bleeding, shortness of breath, and a heart murmur, which have left me feeling quite uneasy. Additionally, I've noticed changes in my mental status and mood, accompanied by a hand tremor. I've also been dealing with urination changes, such as little or no urine, excessive urination at night, or even complete cessation of urination. My appetite has decreased significantly, and I've been struggling with high blood pressure. Furthermore, I've observed swelling in my legs, ankles, and feet due to fluid retention. I've also been bruising easily and experiencing flank pain between my ribs and hips. To make matters worse, I've been experiencing persistent hiccups, nausea, and vomiting that can last for days, as well as bloody stools. I've also noticed a metallic taste in my mouth and bad breath. Occasionally, I've had seizures, and I've been experiencing decreased sensation, especially in my hands and feet. I've also had recurring nosebleeds and feel extremely fatigued, with slow and sluggish movements.",Acute kidney failure,https://medlineplus.gov/ency/article/000501.htm
"I've been experiencing a multitude of symptoms lately, including swollen lymph nodes in my neck, underarms, and groin, accompanied by night sweats and persistent bone and joint pain. I've also been feeling a painful fullness below my ribs, which I suspect may be due to an enlarged liver or spleen. Additionally, I've noticed that I've become quite pale, and I've developed pinpoint red spots on my skin, known as petechiae. I've lost my appetite, resulting in weight loss, and I've been experiencing recurring fevers. Furthermore, I've been feeling extremely weak and tired, and I've noticed that I bruise and bleed easily, whether it's bleeding gums, skin bleeding, nosebleeds, or abnormal periods.",Acute lymphoblastic leukemia (ALL),https://medlineplus.gov/ency/article/000541.htm
"I've been experiencing a multitude of concerning symptoms lately, including a blue color to my skin, which I've noticed is accompanied by dizziness or light-headedness, and a rapid pulse. I've also had a persistent cough, and I've lost my appetite, which has left me with a gray or pale complexion. Additionally, I've been struggling to walk in a straight line, or even walk at all, and I'm constantly feeling fatigued. I've been having difficulty sleeping, and when I do, I'm plagued by headaches. Even when I'm at rest, I experience shortness of breath, and it only worsens with exertion. I've also been experiencing chest tightness or congestion, which has led to confusion, nausea, and vomiting. To make matters worse, I've noticed a decrease in my consciousness, and I've started to withdraw from social interactions.",Acute mountain sickness,https://medlineplus.gov/ency/article/000133.htm
"I've been experiencing some concerning symptoms lately, including extremely heavy menstrual periods, and I've noticed that my skin has been looking pale. I've also been dealing with bone pain and tenderness, which has been accompanied by unexpected weight loss. Additionally, I've been bruising easily, and I've had instances of bleeding from my nose. Occasionally, I've noticed bleeding and swelling in my gums, which is quite rare. Furthermore, I've been experiencing shortness of breath, which seems to worsen when I exercise. On top of all this, I've been feeling feverish and extremely fatigued.",Acute myeloid leukemia - adult,https://medlineplus.gov/ency/article/000542.htm
"I've been experiencing some concerning symptoms lately, including a loss of appetite and eating less food, which has left me feeling weak and tired. I've also been having night sweats, frequent infections, and easy bleeding or bruising, which is alarming. Additionally, I've had recurring fevers, with or without an infection, and I've been experiencing bone or joint pain. I've noticed painless lumps in my neck, armpits, stomach, and groin, which are sometimes blue or purple. Furthermore, I've observed pinpoint spots under my skin, known as petechiae, which are caused by bleeding.",Acute myeloid leukemia (AML) - children,https://medlineplus.gov/ency/article/007656.htm
"I've been experiencing some concerning symptoms lately, including a significant decrease in my urine output, with little to no urine being produced, and sometimes there's blood in my urine, which appears dark, tea-colored, or cloudy. I've also been coughing up mucus or pink, frothy material, which I think is due to fluid buildup in my lungs, leading to shortness of breath. Additionally, I've noticed swelling in various parts of my body, including my face, eye socket, legs, arms, hands, feet, and abdomen. Furthermore, I've been experiencing blurred vision, which I suspect is caused by burst blood vessels in the retina of my eye. On top of all this, I've been feeling generally unwell, with drowsiness, confusion, aches, pains, and headaches, which has left me feeling quite miserable.",Acute nephritic syndrome,https://medlineplus.gov/ency/article/000495.htm
"I've been experiencing some disturbing symptoms lately, including abdominal pain that becomes constant and more severe, lasting for several days, accompanied by indigestion. The pain may spread to my back or below my left shoulder blade, and I've also noticed mild yellowing of my skin and the whites of my eyes, which I've learned is a sign of jaundice. Additionally, I've been having hiccups, and I've found that the discomfort worsens when I lie flat on my back. Furthermore, I've observed changes in my stool, which have become clay-colored, and I've noticed that the symptoms often get worse within minutes after eating or drinking, especially if the food is high in fat. Along with this, I've been experiencing bloating and a feeling of fullness, and my abdomen has become swollen.",Acute pancreatitis,https://medlineplus.gov/ency/article/000287.htm
"I've been experiencing a range of concerning symptoms lately, including low blood pressure and signs of organ failure, which is alarming to me. I've also been having rapid breathing and shortness of breath, making it difficult to catch my breath. Additionally, I've noticed my heartbeat has become very fast, which is adding to my anxiety about what's going on with my body.",Acute respiratory distress syndrome,https://medlineplus.gov/ency/article/000103.htm
"I've been experiencing some alarming symptoms lately, including decreased consciousness, which has led to moments of delirium, confusion, and even coma. I've also been feeling extremely drowsy and lethargic. Additionally, I've noticed general swelling and fluid retention in my body, which is concerning. Furthermore, I've had decreased urine output, and sometimes I haven't been able to produce any urine at all. To make matters worse, I've been dealing with nausea and vomiting, which is making me feel even more unwell.",Acute tubular necrosis,https://medlineplus.gov/ency/article/000512.htm
"I've been experiencing some distressing symptoms lately, including extreme weakness, fatigue, and slow, sluggish movement, which has made everyday tasks a struggle. I've also developed a strong craving for salty foods and have been eating a lot of food with added salt. Despite this, I've been losing weight due to a reduced appetite. Additionally, I've been dealing with a low-grade fever, dizziness when standing up, and dehydration, which has led to chronic diarrhea, nausea, and vomiting. To make matters worse, I've noticed that my blood pressure drops significantly when I change positions, and I've been experiencing low blood sugar levels. I've also observed some unusual physical changes, such as darker skin on the inside of my cheeks and lips, as well as darkening of the skin overall.",Addison disease,https://medlineplus.gov/ency/article/000378.htm
"I've been experiencing some distressing symptoms related to my menstrual cycle, including painful periods that seem to be getting worse over time, and I've been dealing with long-term or heavy menstrual bleeding. Additionally, I've been having pelvic pain during intercourse, which is causing me a lot of discomfort and concern.",Adenomyosis,https://medlineplus.gov/ency/article/001513.htm
"I've been experiencing some uncomfortable symptoms lately, including constipation, and I've also noticed that I'm no longer able to pass gas, which is causing me a lot of discomfort. Along with this, I've been dealing with bloating and swelling of my belly, which is quite painful. To make matters worse, I've also been experiencing nausea and vomiting, which is making my daily life really difficult.",Adhesion,https://medlineplus.gov/ency/article/001493.htm
"I've been experiencing some distressing symptoms lately, including acting defiant or impulsive, and I've noticed that I've been having physical complaints like skipped heartbeats. I've also been feeling nervous and tense, and I've caught myself trembling or twitching at times. It's clear to me that these symptoms started after a stressful event, which happened within the past three months. Along with these physical symptoms, I've been feeling overwhelmed with emotions, often crying, feeling sad or hopeless, and even withdrawing from the people around me. I'm aware that these symptoms aren't part of another disorder, and they're not just a normal reaction to the loss of a loved one. What's concerning me is that these symptoms are more severe than I would expect, and I'm not sure what's causing them or how to cope with them.",Adjustment disorder,https://medlineplus.gov/ency/article/000932.htm
"I've been experiencing a multitude of alarming symptoms lately, including shallow breathing, weakness, and tremors, which have left me feeling extremely unwell. I've also had a rapid heartbeat, and at times, no urine output, which has been concerning. Additionally, my pupils have been dilated, and I've even had convulsions and seizures. I've been experiencing chest pain, blurred vision, and a burning sensation in my throat, which has made it difficult to breathe. My breathing has been rapid, and I've had a tingling sensation in my hands and feet. Furthermore, I've had a fever, and I've been feeling nervous and irritable. My blood pressure has been fluctuating wildly, going from high to low, and I've even experienced chills. In some instances, I've gone into shock, which has left me feeling extremely unwell. I've also been experiencing nausea and vomiting, and at times, I've even stopped breathing, which has been terrifying. In extreme cases, I've even slipped into a coma, and my lips and fingernails have turned blue. Overall, I've been feeling extremely breathless and short of breath, and I'm worried about what might be causing all these symptoms.",Adrenergic bronchodilator overdose,https://medlineplus.gov/ency/article/002594.htm
"I've been struggling with a range of symptoms, including feelings of weakness and obesity, and I've also noticed that I've not been growing as I should, resulting in stunted growth and short stature. Additionally, I've developed a fatty, rounded hump high on my back just below the neck, which is quite concerning. I've also been experiencing abdominal pain, and I've started to notice some masculine characteristics, such as excessive body hair, acne, and a deeper voice, which is unsettling. Furthermore, I've been experiencing muscle cramps and have developed a flushed, rounded face with pudgy cheeks, often referred to as a ""moon face"".",Adrenocortical carcinoma,https://medlineplus.gov/ency/article/001663.htm
"I've been struggling with a multitude of concerning symptoms, including crossed eyes, difficulties with thinking speed and visual memory, and hyperactivity, which have been affecting my daily life, especially at school. I've also been experiencing difficulty understanding what people are saying, and I've lost control over my urination. Furthermore, I've noticed worsening muscle weakness and leg stiffness, as well as a decrease in my appetite. My muscles have become weaker, and I've started to experience visual impairment and even blindness in some cases. I've also observed an unusual increase in skin color. Unfortunately, my nervous system has been deteriorating, leading to coma, decreased fine motor control, and even paralysis. I've also been experiencing hearing loss, and my handwriting has become increasingly poor. Additionally, I've been losing weight and muscle mass, and my muscle tone has changed, resulting in muscle spasms and uncontrolled movements. I've even had seizures, and I've been vomiting and struggling with swallowing difficulties, which have led to a coma on occasion.",Adrenoleukodystrophy,https://medlineplus.gov/ency/article/001182.htm
"I've been experiencing some alarming symptoms lately, including a possible blockage or bleeding in my stomach or intestines, which is causing me a lot of pain, especially when it presses on a nerve, organ, blood vessel, or muscle, and I've also been having some breathing problems.",Adult soft tissue sarcoma,https://medlineplus.gov/ency/article/007654.htm
"I've been experiencing a multitude of symptoms that have been causing me a lot of discomfort, including joint pain, warmth, and swelling, which often affect multiple joints at the same time, and are usually accompanied by morning stiffness that lasts for at least an hour. Additionally, I've been having abdominal pain and swelling, and I've noticed a recurring salmon-pink colored skin rash that seems to come and go with the fever, which tends to come on quickly once a day, usually in the afternoon or evening. I've also been dealing with a sore throat, and I've recently experienced weight loss. Furthermore, I've been having pain when taking a deep breath, which I think might be related to pleurisy, and I've noticed that my lymph nodes, or glands, are swollen.",Adult Still disease,https://medlineplus.gov/ency/article/000450.htm
"I've been experiencing a multitude of symptoms that are really concerning me, including weakness, slurred speech, and recurring nausea and vomiting, which sometimes contains blood. I've also had persistent headaches, and I'm worried about my low blood sugar levels. My heart has been racing, and I've been feeling confused, which has made it difficult for me to walk normally. Additionally, my eyes have been irritated, with burning sensations, redness, and excessive tearing. I've noticed a change in my alertness level, and sometimes I've become unresponsive or even unconscious. Furthermore, I've been experiencing abdominal pain, and my reflexes have been unresponsive. I've also been dealing with dizziness, nausea, and uncoordinated movement, which has made everyday tasks challenging. On top of this, I've had difficulties with urination, producing either too much or too little urine. I've been feeling extremely sleepy, and my breathing has slowed down. My body temperature has been low, and I've even slipped into a stupor at times. My blood pressure has been low, and I've had throat pain, which has made me irritable. In extreme cases, I've even fallen into a coma, characterized by a decreased level of consciousness and a lack of responsiveness.",Aftershave poisoning,https://medlineplus.gov/ency/article/002698.htm
"I've been struggling with a multitude of recurring infections, including chronic diarrhea, conjunctivitis, and upper respiratory tract infections, which often lead to bronchitis and otitis media. I've also been experiencing unexplained asthma symptoms, and I've been diagnosed with bronchiectasis, which has caused further respiratory issues. On top of this, I've been dealing with frequent skin infections, sinusitis, and even pneumonia, which has left me feeling drained and concerned about my overall health.",Agammaglobulinemia,https://medlineplus.gov/ency/article/001307.htm
"I've been struggling with my hearing lately, and I've noticed that I've had to raise the volume on the TV to understand what's being said, and I frequently ask people to repeat themselves because I just can't catch what they're saying. Certain sounds seem overly loud to me, and I've been having more difficulty understanding people with higher-pitched voices. This has been really frustrating for me, as I'm having trouble hearing people around me, especially in noisy areas. I've also been having problems telling apart certain sounds, such as ""s"" or ""th"", and to make matters worse, I've been experiencing this annoying ringing in my ears.",Age-related hearing loss,https://medlineplus.gov/ency/article/001045.htm
"I've been experiencing some overwhelming anxiety symptoms lately, including being afraid of losing control in a public place, choking, or being short of breath, which makes me feel like I need to depend on others. Sometimes, I feel like the environment around me isn't real, and I get anxious about being in places where escape might be difficult. Physically, I've been experiencing a racing heart, nausea or stomach distress, and dizziness or fainting spells. I've also been feeling anxious about spending time alone, and often, I get an unusual temper or agitation. As a result, I've been staying in the house for long periods, feeling sweaty and experiencing chest pain or discomfort. Emotionally, I feel detached or separated from others, helpless, and I've been trembling a lot. The worst part is that I sometimes feel like my body isn't even real, which is a really scary feeling.",Agoraphobia,https://medlineplus.gov/ency/article/000923.htm
